Moon x	Moon y	Apollo x	Apollo y	t	vmag	r
384399986.647473	102199.998805	179381409.725949	103565905.492746	100.000000	1021.999999	384400000.233373
384399946.320145	204399.990438	180040209.498419	103946265.059331	200.000000	1021.999998	384400000.663744
384399879.018019	306599.967727	180698928.568938	104326578.935830	300.000000	1021.999997	384400001.291114
384399784.741100	408799.923502	181357567.516418	104706847.461529	400.000000	1021.999994	384400002.115481
384399663.489395	510999.850589	182016126.913387	105087070.972052	500.000000	1021.999992	384400003.136847
384399515.262912	613199.741817	182674607.326084	105467249.799413	600.000000	1021.999988	384400004.355210
384399340.061663	715399.590015	183333009.314547	105847384.272070	700.000000	1021.999985	384400005.770571
384399137.885659	817599.388011	183991333.432710	106227474.714977	800.000000	1021.999980	384400007.382930
384398908.734915	919799.128632	184649580.228488	106607521.449639	900.000000	1021.999976	384400009.192287
384398652.609447	1021998.804708	185307750.243867	106987524.794157	1000.000000	1021.999970	384400011.198641
384398369.509276	1124198.409066	185965844.014988	107367485.063280	1100.000000	1021.999965	384400013.401993
384398059.434418	1226397.934536	186623862.072234	107747402.568458	1200.000000	1021.999958	384400015.802341
384397722.384898	1328597.373944	187281804.940311	108127277.617882	1300.000000	1021.999951	384400018.399687
384397358.360741	1430796.720119	187939673.138330	108507110.516535	1400.000000	1021.999944	384400021.194029
384396967.361972	1532995.965890	188597467.179887	108886901.566242	1500.000000	1021.999936	384400024.185369
384396549.388618	1635195.104085	189255187.573145	109266651.065706	1600.000000	1021.999928	384400027.373704
384396104.440711	1737394.127532	189912834.820905	109646359.310562	1700.000000	1021.999919	384400030.759036
384395632.518281	1839593.029059	190570409.420686	110026026.593415	1800.000000	1021.999909	384400034.341364
384395133.621364	1941791.801496	191227911.864799	110405653.203884	1900.000000	1021.999899	384400038.120688
384394607.749994	2043990.437669	191885342.640420	110785239.428645	2000.000000	1021.999889	384400042.097007
384394054.904210	2146188.930408	192542702.229664	111164785.551473	2100.000000	1021.999878	384400046.270322
384393475.084050	2248387.272541	193199991.109650	111544291.853281	2200.000000	1021.999866	384400050.640631
384392868.289558	2350585.456897	193857209.752578	111923758.612161	2300.000000	1021.999854	384400055.207935
384392234.520775	2452783.476302	194514358.625792	112303186.103423	2400.000000	1021.999842	384400059.972233
384391573.777748	2554981.323587	195171438.191850	112682574.599635	2500.000000	1021.999829	384400064.933525
384390886.060525	2657178.991579	195828448.908587	113061924.370657	2600.000000	1021.999815	384400070.091810
384390171.369153	2759376.473107	196485391.229185	113441235.683684	2700.000000	1021.999801	384400075.447088
384389429.703685	2861573.760999	197142265.602231	113820508.803278	2800.000000	1021.999786	384400080.999360
384388661.064175	2963770.848084	197799072.471784	114199743.991406	2900.000000	1021.999771	384400086.748623
384387865.450676	3065967.727190	198455812.277435	114578941.507475	3000.000000	1021.999755	384400092.694879
384387042.863247	3168164.391146	199112485.454366	114958101.608369	3100.000000	1021.999739	384400098.838126
384386193.301946	3270360.832779	199769092.433415	115337224.548477	3200.000000	1021.999722	384400105.178364
384385316.766833	3372557.044920	200425633.641127	115716310.579735	3300.000000	1021.999705	384400111.715593
384384413.257973	3474753.020395	201082109.499820	116095359.951653	3400.000000	1021.999687	384400118.449811
384383482.775430	3576948.752034	201738520.427634	116474372.911349	3500.000000	1021.999669	384400125.381020
384382525.319270	3679144.232665	202394866.838591	116853349.703583	3600.000000	1021.999650	384400132.509218
384381540.889563	3781339.455117	203051149.142652	117232290.570785	3700.000000	1021.999631	384400139.834404
384380529.486378	3883534.412219	203707367.745764	117611195.753089	3800.000000	1021.999611	384400147.356579
384379491.109789	3985729.096798	204363523.049920	117990065.488362	3900.000000	1021.999591	384400155.075741
384378425.759871	4087923.501685	205019615.453208	118368900.012233	4000.000000	1021.999570	384400162.991891
384377333.436698	4190117.619706	205675645.349863	118747699.558126	4100.000000	1021.999548	384400171.105026
384376214.140350	4292311.443691	206331613.130317	119126464.357284	4200.000000	1021.999526	384400179.415148
384375067.870907	4394504.966470	206987519.181250	119505194.638801	4300.000000	1021.999504	384400187.922255
384373894.628452	4496698.180869	207643363.885637	119883890.629647	4400.000000	1021.999481	384400196.626347
384372694.413068	4598891.079719	208299147.622798	120262552.554701	4500.000000	1021.999457	384400205.527422
384371467.224841	4701083.655848	208954870.768447	120641180.636770	4600.000000	1021.999433	384400214.625482
384370213.063860	4803275.902084	209610533.694734	121019775.096623	4700.000000	1021.999409	384400223.920524
384368931.930215	4905467.811257	210266136.770293	121398336.153015	4800.000000	1021.999384	384400233.412548
384367623.823997	5007659.376195	210921680.360290	121776864.022708	4900.000000	1021.999358	384400243.101554
384366288.745300	5109850.589728	211577164.826465	122155358.920504	5000.000000	1021.999332	384400252.987540
384364926.694220	5212041.444684	212232590.527174	122533821.059264	5100.000000	1021.999306	384400263.070506
384363537.670855	5314231.933892	212887957.817436	122912250.649938	5200.000000	1021.999278	384400273.350452
384362121.675304	5416422.050180	213543267.048974	123290647.901582	5300.000000	1021.999251	384400283.827376
384360678.707670	5518611.786379	214198518.570255	123669013.021388	5400.000000	1021.999223	384400294.501278
384359208.768054	5620801.135317	214853712.726533	124047346.214706	5500.000000	1021.999194	384400305.372157
384357711.856564	5722990.089823	215508849.859891	124425647.685063	5600.000000	1021.999165	384400316.440012
384356187.973306	5825178.642727	216163930.309278	124803917.634192	5700.000000	1021.999135	384400327.704843
384354637.118389	5927366.786856	216818954.410549	125182156.262051	5800.000000	1021.999105	384400339.166649
384353059.291926	6029554.515041	217473922.496504	125560363.766841	5900.000000	1021.999074	384400350.825428
384351454.494028	6131741.820110	218128834.896928	125938540.345037	6000.000000	1021.999043	384400362.681181
384349822.724811	6233928.694893	218783691.938626	126316686.191399	6100.000000	1021.999011	384400374.733905
