Moon x	Moon y	Apollo x	Apollo y	t	vmag	radM
383876699.465839	20153006.798435	171920781.523809	102485353.884457	100.000000	1499.010115	227386265.540030
383876659.194720	20254833.532716	172049499.017908	102562083.609685	200.000000	1498.021726	227257158.141536
383876591.987763	20356658.845757	172178132.060134	102638762.119995	300.000000	1497.034829	227128088.690852
383876497.846089	20458482.730473	172306680.778920	102715389.490889	400.000000	1496.049420	226999057.082690
383876376.770821	20560305.179777	172435145.302328	102791965.797649	500.000000	1495.065494	226870063.212101
383876228.763084	20662126.186587	172563525.758057	102868491.115335	600.000000	1494.083047	226741106.974465
383876053.824004	20763945.743818	172691822.273438	102944965.518792	700.000000	1493.102075	226612188.265494
383875851.954711	20865763.844388	172820034.975441	103021389.082644	800.000000	1492.122574	226483306.981233
383875623.156334	20967580.481213	172948163.990674	103097761.881301	900.000000	1491.144539	226354463.018052
383875367.430005	21069395.647214	173076209.445383	103174083.988956	1000.000000	1490.167967	226225656.272651
383875084.776859	21171209.335308	173204171.465459	103250355.479588	1100.000000	1489.192852	226096886.642055
383874775.198031	21273021.538416	173332050.176432	103326576.426962	1200.000000	1488.219191	225968154.023613
383874438.694659	21374832.249459	173459845.703478	103402746.904628	1300.000000	1487.246981	225839458.315000
383874075.267882	21476641.461356	173587558.171419	103478866.985926	1400.000000	1486.276215	225710799.414209
383873684.918841	21578449.167032	173715187.704724	103554936.743984	1500.000000	1485.306892	225582177.219556
383873267.648679	21680255.359407	173842734.427510	103630956.251720	1600.000000	1484.339006	225453591.629675
383872823.458540	21782060.031406	173970198.463546	103706925.581840	1700.000000	1483.372553	225325042.543521
383872352.349573	21883863.175952	174097579.936251	103782844.806845	1800.000000	1482.407529	225196529.860361
383871854.322924	21985664.785970	174224878.968697	103858713.999026	1900.000000	1481.443931	225068053.479780
383871329.379744	22087464.854386	174352095.683611	103934533.230466	2000.000000	1480.481754	224939613.301678
383870777.521185	22189263.374125	174479230.203376	104010302.573044	2100.000000	1479.520995	224811209.226264
383870198.748401	22291060.338115	174606282.650032	104086022.098432	2200.000000	1478.561649	224682841.154063
383869593.062547	22392855.739283	174733253.145279	104161691.878098	2300.000000	1477.603712	224554508.985906
383868960.464781	22494649.570556	174860141.810474	104237311.983306	2400.000000	1476.647180	224426212.622935
383868300.956262	22596441.824865	174986948.766639	104312882.485118	2500.000000	1475.692050	224297951.966600
383867614.538151	22698232.495138	175113674.134457	104388403.454393	2600.000000	1474.738317	224169726.918655
383866901.211611	22800021.574306	175240318.034276	104463874.961789	2700.000000	1473.785978	224041537.381162
383866160.977806	22901809.055300	175366880.586109	104539297.077764	2800.000000	1472.835029	223913383.256484
383865393.837904	23003594.931051	175493361.909636	104614669.872576	2900.000000	1471.885466	223785264.447289
383864599.793071	23105379.194492	175619762.124206	104689993.416284	3000.000000	1470.937284	223657180.856545
383863778.844478	23207161.838556	175746081.348837	104765267.778748	3100.000000	1469.990481	223529132.387519
383862930.993298	23308942.856176	175872319.702219	104840493.029634	3200.000000	1469.045052	223401118.943780
383862056.240703	23410722.240288	175998477.302714	104915669.238408	3300.000000	1468.100994	223273140.429191
383861154.587869	23512499.983826	176124554.268357	104990796.474342	3400.000000	1467.158302	223145196.747915
383860226.035973	23614276.079726	176250550.716858	105065874.806514	3500.000000	1466.216973	223017287.804407
383859270.586195	23716050.520924	176376466.765606	105140904.303805	3600.000000	1465.277003	222889413.503418
383858288.239715	23817823.300359	176502302.531664	105215885.034906	3700.000000	1464.338389	222761573.749991
383857278.997716	23919594.410967	176628058.131776	105290817.068313	3800.000000	1463.401127	222633768.449461
383856242.861382	24021363.845689	176753733.682365	105365700.472331	3900.000000	1462.465212	222505997.507453
383855179.831899	24123131.597462	176879329.299538	105440535.315075	4000.000000	1461.530642	222378260.829882
383854089.910456	24224897.659227	177004845.099082	105515321.664468	4100.000000	1460.597412	222250558.322951
383852973.098242	24326662.023926	177130281.196470	105590059.588244	4200.000000	1459.665519	222122889.893149
383851829.396449	24428424.684498	177255637.706859	105664749.153950	4300.000000	1458.734959	221995255.447251
383850658.806270	24530185.633888	177380914.745093	105739390.428943	4400.000000	1457.805729	221867654.892320
383849461.328901	24631944.865036	177506112.425704	105813983.480392	4500.000000	1456.877825	221740088.135697
383848236.965538	24733702.370888	177631230.862915	105888528.375282	4600.000000	1455.951243	221612555.085009
383846985.717381	24835458.144387	177756270.170635	105963025.180410	4700.000000	1455.025980	221485055.648162
383845707.585630	24937212.178479	177881230.462469	106037473.962389	4800.000000	1454.102032	221357589.733346
383844402.571486	25038964.466109	178006111.851713	106111874.787648	4900.000000	1453.179395	221230157.249025
383843070.676156	25140715.000223	178130914.451356	106186227.722432	5000.000000	1452.258067	221102758.103945
383841711.900844	25242463.773769	178255638.374084	106260532.832801	5100.000000	1451.338042	220975392.207126
383840326.246758	25344210.779695	178380283.732279	106334790.184637	5200.000000	1450.419319	220848059.467864
383838913.715109	25445956.010949	178504850.638020	106408999.843637	5300.000000	1449.501894	220720759.795732
383837474.307106	25547699.460480	178629339.203086	106483161.875319	5400.000000	1448.585762	220593493.100574
383836008.023964	25649441.121238	178753749.538954	106557276.345019	5500.000000	1447.670920	220466259.292507
383834514.866898	25751180.986175	178878081.756805	106631343.317897	5600.000000	1446.757366	220339058.281919
383832994.837123	25852919.048241	179002335.967520	106705362.858931	5700.000000	1445.845095	220211889.979469
383831447.935859	25954655.300389	179126512.281686	106779335.032923	5800.000000	1444.934103	220084754.296085
383829874.164326	26056389.735571	179250610.809592	106853259.904497	5900.000000	1444.024389	219957651.142962
383828273.523747	26158122.346740	179374631.661235	106927137.538101	6000.000000	1443.115948	219830580.431565
383826646.015344	26259853.126852	179498574.946318	107000967.998005	6100.000000	1442.208776	219703542.073620
383824991.640344	26361582.068861	179622440.774253	107074751.348306	6200.000000	1441.302871	219576535.981123
383823310.399974	26463309.165723	179746229.254162	107148487.652926	6300.000000	1440.398228	219449562.066331
383821602.295464	26565034.410394	179869940.494874	107222176.975614	6400.000000	1439.494846	219322620.241765
383819867.328044	26666757.795831	179993574.604935	107295819.379942	6500.000000	1438.592719	219195710.420206
383818105.498947	26768479.314992	180117131.692599	107369414.929314	6600.000000	1437.691845	219068832.514699
383816316.809409	26870198.960836	180240611.865837	107442963.686961	6700.000000	1436.792221	218941986.438545
383814501.260665	26971916.726321	180364015.232333	107516465.715939	6800.000000	1435.893843	218815172.105307
383812658.853954	27073632.604408	180487341.899489	107589921.079140	6900.000000	1434.996709	218688389.428805
383810789.590515	27175346.588058	180610591.974421	107663329.839279	7000.000000	1434.100813	218561638.323114
383808893.471591	27277058.670231	180733765.563968	107736692.058908	7100.000000	1433.206154	218434918.702566
383806970.498425	27378768.843890	180856862.774685	107810007.800406	7200.000000	1432.312729	218308230.481748
383805020.672262	27480477.101998	180979883.712847	107883277.125986	7300.000000	1431.420533	218181573.575499
383803043.994350	27582183.437517	181102828.484453	107956500.097694	7400.000000	1430.529563	218054947.898914
383801040.465938	27683887.843414	181225697.195225	108029676.777407	7500.000000	1429.639817	217928353.367337
383799010.088275	27785590.312651	181348489.950605	108102807.226839	7600.000000	1428.751291	217801789.896364
383796952.862616	27887290.838196	181471206.855763	108175891.507536	7700.000000	1427.863982	217675257.401840
383794868.790213	27988989.413014	181593848.015594	108248929.680881	7800.000000	1426.977887	217548755.799859
383792757.872324	28090686.030072	181716413.534721	108321921.808092	7900.000000	1426.093003	217422285.006764
383790620.110205	28192380.682339	181838903.517492	108394867.950223	8000.000000	1425.209325	217295844.939144
383788455.505118	28294073.362783	181961318.067986	108467768.168165	8100.000000	1424.326852	217169435.513834
383786264.058322	28395764.064373	182083657.290013	108540622.522648	8200.000000	1423.445581	217043056.647914
383784045.771081	28497452.780080	182205921.287112	108613431.074240	8300.000000	1422.565507	216916708.258707
383781800.644661	28599139.502873	182328110.162556	108686193.883346	8400.000000	1421.686628	216790390.263783
383779528.680327	28700824.225725	182450224.019349	108758911.010212	8500.000000	1420.808940	216664102.580950
383777229.879349	28802506.941607	182572262.960231	108831582.514924	8600.000000	1419.932442	216537845.128258
